epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,8149.13,0.44793,0.36639,0.92919,0.77992,0.88491,0.82567,0.76455,0.36579,0.22296,0.84755,0.0082576,0.0082576,0.0082576
90,8241.38,0.44879,0.38316,0.92954,0.77839,0.77275,0.79685,0.7309,0.37126,0.27102,0.84901,0.0082378,0.0082378,0.0082378
91,8333.44,0.45583,0.38245,0.93504,0.76708,0.82401,0.81249,0.75031,0.37119,0.23017,0.84761,0.008218,0.008218,0.008218
92,8425.75,0.45065,0.37786,0.92727,0.96481,0.75411,0.78363,0.66568,0.50519,0.32808,1.018,0.0081982,0.0081982,0.0081982
93,8517.97,0.44754,0.37339,0.92996,0.8196,0.86328,0.84801,0.78282,0.36689,0.22162,0.85129,0.0081784,0.0081784,0.0081784
94,8610.09,0.44824,0.36655,0.92924,0.78195,0.87,0.82895,0.76311,0.37621,0.22001,0.85249,0.0081586,0.0081586,0.0081586
95,8702.49,0.44558,0.3719,0.92702,0.77215,0.79777,0.82229,0.76329,0.37152,0.22707,0.84989,0.0081388,0.0081388,0.0081388
96,8795.1,0.44622,0.37036,0.93221,0.824,0.88048,0.86947,0.80848,0.37427,0.24067,0.85429,0.008119,0.008119,0.008119
97,8887.72,0.44122,0.36011,0.92786,0.99002,0.77546,0.81388,0.75113,0.37032,0.25345,0.85747,0.0080992,0.0080992,0.0080992
98,8979.87,0.44479,0.36733,0.92736,0.7997,0.86256,0.81995,0.7591,0.36762,0.22445,0.84985,0.0080794,0.0080794,0.0080794
99,9072.24,0.44304,0.36071,0.92611,0.87039,0.85817,0.84431,0.78439,0.36391,0.21978,0.84798,0.0080596,0.0080596,0.0080596
100,9164.16,0.45513,0.36983,0.92789,0.79952,0.85877,0.81574,0.75511,0.35954,0.21068,0.84411,0.0080398,0.0080398,0.0080398
101,9256.02,0.45036,0.36126,0.92883,0.78504,0.8622,0.83089,0.77158,0.35883,0.21459,0.84315,0.00802,0.00802,0.00802
102,9348.63,0.43873,0.35919,0.92449,0.87966,0.86167,0.85297,0.79254,0.36592,0.22852,0.85084,0.0080002,0.0080002,0.0080002
103,9441.55,0.44024,0.37476,0.91843,0.81393,0.85986,0.82277,0.76216,0.35643,0.20739,0.84468,0.0079804,0.0079804,0.0079804
104,9533.75,0.43496,0.36465,0.92266,0.87665,0.92967,0.87233,0.80966,0.35299,0.19983,0.84426,0.0079606,0.0079606,0.0079606
105,9626.02,0.43568,0.35635,0.92459,0.84998,0.92767,0.87194,0.80613,0.36169,0.21425,0.84677,0.0079408,0.0079408,0.0079408
106,9718.41,0.42677,0.35908,0.91869,0.80769,0.86328,0.85857,0.79687,0.36301,0.21171,0.85051,0.007921,0.007921,0.007921
107,9810.41,0.44535,0.36878,0.92449,0.90736,0.86283,0.90178,0.84034,0.35968,0.19392,0.84441,0.0079012,0.0079012,0.0079012
108,9901.91,0.43207,0.34872,0.92155,0.97795,0.92074,0.93523,0.87606,0.35456,0.19579,0.84549,0.0078814,0.0078814,0.0078814
109,9994.1,0.44397,0.36742,0.92834,0.93358,0.9292,0.96755,0.90481,0.36494,0.2043,0.85168,0.0078616,0.0078616,0.0078616
110,10086.5,0.43733,0.35571,0.9282,0.9864,0.99483,0.99443,0.9342,0.36815,0.20628,0.84967,0.0078418,0.0078418,0.0078418
111,10178.9,0.43098,0.34516,0.91417,0.8576,0.97282,0.88014,0.82123,0.35729,0.19623,0.84478,0.007822,0.007822,0.007822
112,10271.7,0.43858,0.35332,0.92442,0.94014,0.86328,0.92807,0.86938,0.3561,0.18752,0.84587,0.0078022,0.0078022,0.0078022
113,10364.3,0.44565,0.35559,0.927,0.89677,0.99501,0.91403,0.85541,0.35709,0.19365,0.84915,0.0077824,0.0077824,0.0077824
114,10456.2,0.43869,0.34309,0.92145,0.85547,0.92929,0.85665,0.79859,0.36017,0.18518,0.84728,0.0077626,0.0077626,0.0077626
115,10548.6,0.44153,0.34697,0.9277,0.80081,0.86395,0.83155,0.77311,0.35689,0.19271,0.84621,0.0077428,0.0077428,0.0077428
116,10641.3,0.44568,0.3583,0.92647,0.97649,0.92851,0.97726,0.91932,0.35721,0.18982,0.84687,0.007723,0.007723,0.007723
117,10733.1,0.43166,0.34888,0.91936,0.96249,0.92859,0.95611,0.899,0.36795,0.20561,0.84832,0.0077032,0.0077032,0.0077032
118,10825.8,0.43176,0.33571,0.91823,0.95106,0.84951,0.9197,0.86008,0.36572,0.20594,0.85057,0.0076834,0.0076834,0.0076834
119,10917.9,0.44075,0.34258,0.92783,0.88309,0.92756,0.88127,0.82327,0.3623,0.19838,0.84742,0.0076636,0.0076636,0.0076636
120,11010.2,0.44009,0.35036,0.92601,0.98437,0.92754,0.96783,0.91023,0.36168,0.19054,0.84529,0.0076438,0.0076438,0.0076438
121,11102.7,0.43124,0.34856,0.92057,0.9425,0.99244,0.97735,0.91785,0.36818,0.20228,0.84735,0.007624,0.007624,0.007624
122,11194.9,0.43366,0.34185,0.92143,0.99614,0.91567,0.96788,0.90898,0.36302,0.19588,0.84657,0.0076042,0.0076042,0.0076042
123,11287.6,0.43156,0.34914,0.91895,0.97498,0.98825,0.99399,0.93745,0.36267,0.19396,0.84648,0.0075844,0.0075844,0.0075844
124,11379.7,0.42845,0.34238,0.9206,0.98637,0.99256,0.99437,0.9369,0.36193,0.19379,0.84831,0.0075646,0.0075646,0.0075646
125,11471.9,0.43361,0.33941,0.92155,0.99003,0.99549,0.99401,0.9375,0.36814,0.19916,0.85325,0.0075448,0.0075448,0.0075448
126,11564.3,0.42525,0.33791,0.91577,0.99269,0.92625,0.96809,0.91022,0.35984,0.18927,0.84819,0.007525,0.007525,0.007525
